#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-10T06:17:11 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-10T06:17:11	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-out.add=_Glon,_Glat&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/402/2403/at20gcat&-order=I&-out=AT20G&-out=RAJ2000&-out=DEJ2000&DEJ2000=&gt;-30 & &lt;0&-out=S20&-out=e_S20&-out=S8&-out=e_S8&-out=S5&-out=e_S5&-out=Ep&-out.all=2&-out=Q&-out=Flags&-out=l_P20&-out=P20&-out=e_P20&-out=l_m20&-out=m20&-out=PA20&-out=l_P8&-out=P8&-out=e_P8&-out=l_m8&-out=m8&-out=PA8&-out=l_P5&-out=P5&-out=e_P5&-out=l_m5&-out=m5&-out=PA5&-out=Sp&Sp=Sp&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74022403
#Name: J/MNRAS/402/2403
#Title: Australia Telescope 20GHz Survey Catalog, AT20G (Murphy+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/mnras/402/2403	    IVOID of underlying data collection
#INFO	creator=Murphy T.	    First author or institution
#INFO	cites=bibcode:2010MNRAS.402.2403M	    Article or Data origin sources
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/402/2403	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74022403	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_MNRAS_402_2403_at20gcat:
#Name: J/MNRAS/402/2403/at20gcat
#Title: The AT20G catalogue, version 1.0 (2009-10-15)
#Column	_Glon	(F11.7)	Galactic longitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lon]
#Column	_Glat	(F11.7)	Galactic latitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lat]
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	AT20G	(A14)	IAU designation (JHHMMSS+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	S20	(I5)	? Peak brightness at 20GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.12-30GHz]
#Column	e_S20	(I3)	? Uncertainty on S20	[ucd=stat.error]
#Column	S8	(I4)	? Peak brightness at 8GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.6-12GHz]
#Column	e_S8	(I3)	? Uncertainty on S8	[ucd=stat.error]
#Column	S5	(I5)	? Peak brightness at 5GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	e_S5	(I3)	? Uncertainty on S5	[ucd=stat.error]
#Column	Ep	(A3)	[1-8.] Epochs of observation at 20, 8, 5GHz (4)	[ucd=meta.id]
#Column	Q	(A1)	[gp] Quality flag (g=good or p=poor)	[ucd=meta.code.qual]
#Column	Flags	(A3)	Other flags (5)	[ucd=meta.code.error]
#Column	l_P20	(A1)	Limit flag on P20	[ucd=meta.code.error]
#Column	P20	(I4)	? Polarized flux density (or limit) at 20GHz	[ucd=phot.flux.density;em.radio.12-30GHz]
#Column	e_P20	(I2)	? Uncertainty on P20	[ucd=stat.error]
#Column	l_m20	(A1)	Limit flag on m20	[ucd=meta.code.error]
#Column	m20	(F4.1)	? Fractional polarisation at 20GHz	[ucd=phys.polarization]
#Column	PA20	(I3)	[-90/90]? Position angle at 20GHz	[ucd=pos.posAng]
#Column	l_P8	(A1)	Limit flag on P8	[ucd=meta.code.error]
#Column	P8	(I3)	? Polarized flux density (or limit) at 8GHz	[ucd=phot.flux.density;em.radio.6-12GHz]
#Column	e_P8	(I2)	? Uncertainty on P8	[ucd=stat.error]
#Column	l_m8	(A1)	Limit flag on m8	[ucd=meta.code.error]
#Column	m8	(F5.1)	? Fractional polarisation at 8GHz	[ucd=phys.polarization]
#Column	PA8	(I3)	[-90/90]? Position angle at 8GHz	[ucd=pos.posAng]
#Column	l_P5	(A1)	Limit flag on P5	[ucd=meta.code.error]
#Column	P5	(I4)	? Polarized flux density (or limit) at 5GHz	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	e_P5	(I1)	? Uncertainty on P5	[ucd=stat.error]
#Column	l_m5	(A1)	Limit flag on m5	[ucd=meta.code.error]
#Column	m5	(F5.1)	? Fractional polarisation at 5GHz	[ucd=phys.polarization]
#Column	PA5	(I3)	[-90/90]? Position angle at 5GHz	[ucd=pos.posAng]
#Column	Sp	(A2)	SPECFIND of radio surveys with this source (Vollmer et al., Cat. VIII/85)	[ucd=meta.ref.url]
_Glon	_Glat	_RAJ2000	_DEJ2000	AT20G	RAJ2000	DEJ2000	S20	e_S20	S8	e_S8	S5	e_S5	Ep	Q	Flags	l_P20	P20	e_P20	l_m20	m20	PA20	l_P8	P8	e_P8	l_m8	m8	PA8	l_P5	P5	e_P5	l_m5	m5	PA5	Sp
deg	deg	deg	deg	 	"h:m:s"	"d:m:s"	mJy	mJy	mJy	mJy	mJy	mJy	 	 	 	 	mJy	mJy	 	%	deg	 	mJy	mJy	 	%	deg	 	mJy	mJy	 	%	deg	
-----------	-----------	-----------	-----------	--------------	-----------	-----------	-----	---	----	---	-----	---	---	-	---	-	----	--	-	----	---	-	---	--	-	-----	---	-	----	-	-	-----	---	--
074.3598240	-73.7643280	000.2725833	-15.8520000	J000105-155107	00 01 05.42	-15 51 07.2	  297	 19	 295	 15	  257	 13	444	g	   	<	   8	  	<	 2.7	   	<	  6	  	<	  2.0	   	<	   6	 	<	  2.3	   	Sp
069.4242750	-75.0383103	000.2762917	-17.6906111	J000106-174126	00 01 06.31	-17 41 26.2	   73	  8	    	   	     	   	6..	g	   	<	   6	  	<	 8.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
089.0849183	-67.2900982	000.3251667	 -7.7741111	J000118-074626	00 01 18.04	-07 46 26.8	  177	  9	    	   	     	   	6..	g	   	<	   8	  	<	 4.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
092.7946718	-64.5366659	000.3520833	 -4.6332222	J000124-043759	00 01 24.50	-04 37 59.6	   50	  3	    	   	     	   	6..	g	   	<	   6	  	<	12.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
090.2026313	-66.5796847	000.3566250	 -6.9401944	J000125-065624	00 01 25.59	-06 56 24.7	   77	  4	    	   	     	   	6..	g	   	<	   8	  	<	10.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
055.3568017	-77.6426329	000.5500833	-21.8860833	J000212-215309	00 02 12.02	-21 53 09.9	  165	 11	    	   	     	   	4..	g	   	<	   6	  	<	 3.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
079.1607484	-72.6678256	000.5904583	-14.1121944	J000221-140643	00 02 21.71	-14 06 43.9	   48	  3	    	   	     	   	7..	g	   	<	   6	  	<	12.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
094.4656107	-63.6621066	000.6275000	 -3.5278056	J000230-033140	00 02 30.60	-03 31 40.1	   53	  3	    	   	     	   	6..	g	   	<	   9	  	<	17.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
058.3137636	-77.4572765	000.7077083	-21.2386667	J000249-211419	00 02 49.85	-21 14 19.2	  100	  7	    	   	     	   	4..	g	   	<	   7	  	<	 6.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
064.3277073	-76.6957217	000.8169167	-19.6974167	J000316-194150	00 03 16.06	-19 41 50.7	   76	  5	 162	  9	  182	  9	444	g	   	<	   8	  	<	10.6	   	<	  7	  	<	  4.4	   	<	   6	 	<	  3.3	   	Sp
071.5254808	-75.2778920	000.8418750	-17.4533056	J000322-172711	00 03 22.05	-17 27 11.9	  386	 43	    	   	     	   	6..	g	   	 	  14	 2	 	 3.7	 18	 	   	  	 	     	   	 	    	 	 	     	   	Sp
076.0247543	-74.1049191	000.8639583	-15.7848333	J000327-154705	00 03 27.35	-15 47 05.4	  129	  8	    	   	     	   	4..	g	   	<	  10	  	<	 7.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
084.6652278	-71.0796651	001.0203333	-11.8161111	J000404-114858	00 04 04.88	-11 48 58.0	  680	 32	    	   	     	   	6..	g	   	<	   7	  	<	 1.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
097.5282653	-62.1109291	001.2792917	 -1.5457222	J000507-013244	00 05 07.03	-01 32 44.6	   81	  4	    	   	     	   	6..	g	   	<	   6	  	<	 7.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
074.6149241	-75.1487868	001.3250417	-16.8013611	J000518-164804	00 05 18.01	-16 48 04.9	  142	  9	    	   	     	   	4..	g	   	<	   6	  	<	 4.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
014.5732541	-79.6433589	001.5047500	-29.9304444	J000601-295549	00 06 01.14	-29 55 49.6	   97	  6	 187	 10	  228	 10	444	g	   	<	   6	  	<	 6.2	   	<	  7	  	<	  3.9	   	<	   6	 	<	  2.6	   	Sp
093.5056869	-66.6464377	001.5579167	 -6.3930000	J000613-062334	00 06 13.90	-06 23 34.8	 2084	101	    	   	     	   	6..	g	   	 	  97	 3	 	 4.6	 32	 	   	  	 	     	   	 	    	 	 	     	   	Sp
099.2809004	-60.8587404	001.5941250	 -0.0731111	J000622-000423	00 06 22.59	-00 04 23.2	  425	 17	    	   	     	   	6..	g	   	 	  11	 3	 	 2.5	-53	 	   	  	 	     	   	 	    	 	 	     	   	Sp
050.0392039	-79.5993006	002.0017500	-23.6550000	J000800-233918	00 08 00.42	-23 39 18.0	  154	  9	    	   	     	   	4..	g	   	<	   6	  	<	 3.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
037.2749893	-80.3197715	002.1094583	-25.9864444	J000826-255911	00 08 26.27	-25 59 11.2	  120	  8	 259	 14	  360	 18	444	g	   	 	   7	 2	 	 6.0	-26	 	 11	 3	 	  4.2	-42	 	  10	2	 	  2.9	 50	Sp
084.4467307	-73.0665225	002.1167500	-13.4917500	J000828-132930	00 08 28.02	-13 29 30.3	  161	  8	    	   	     	   	6..	g	   	<	   6	  	<	 3.7	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
095.2269253	-66.5126120	002.1222083	 -5.9792222	J000829-055845	00 08 29.33	-05 58 45.2	   66	  4	    	   	     	   	6..	g	   	<	   7	  	<	10.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
082.7690478	-73.7586907	002.1295000	-14.3333056	J000831-141959	00 08 31.08	-14 19 59.9	   53	  3	    	   	     	   	6..	g	   	<	   6	  	<	11.3	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
079.1739032	-75.3486434	002.3647917	-16.1746667	J000927-161028	00 09 27.55	-16 10 28.8	   69	  4	  92	  5	   61	  4	444	g	   	<	  11	  	<	15.8	   	<	  9	  	<	 10.1	   	<	   6	 	<	  9.9	   	Sp
