#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-10T06:16:08 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-10T06:16:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-out.add=_Glon,_Glat&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VIII/65/nvss&-order=I&-out=Field&-out=Xpos&-out=Ypos&-out=NVSS&-out=RAJ2000&-out=DEJ2000&DEJ2000=&gt;-30 & &lt;0&-out=e_RAJ2000&-out=e_DEJ2000&-out=S1.4&S1.4=&gt;100&-out=e_S1.4&-out.all=2&-out=l_MajAxis&-out=MajAxis&-out=l_MinAxis&-out=MinAxis&-out=PA&-out=e_MajAxis&-out=e_MinAxis&-out=e_PA&-out=f_resFlux&-out=resFlux&-out=polFlux&-out=polPA&-out=e_polFlux&-out=e_polPA&-out=Image&Image=Image&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8065
#Name: VIII/65
#Title: 1.4GHz NRAO VLA Sky Survey (NVSS) (Condon+ 1998)
#INFO	ivoid=ivo://cds.vizier/viii/65	    IVOID of underlying data collection
#INFO	creator=Condon J.J.	    First author or institution
#INFO	cites=bibcode:1998AJ....115.1693C	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=1998	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/65	    Dataset landing page
#INFO	publication_date=2007-12-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	VIII_65_nvss:
#Name: VIII/65/nvss
#Title: The NVSS Catalog
#Column	_Glon	(F11.7)	Galactic longitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lon]
#Column	_Glat	(F11.7)	Galactic latitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lat]
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Field	(a8)	Name of the original survey image field from which the component was derived.	[ucd=obs.field]
#Column	Xpos	(F7.2)	X position (RA direction) of the radio source	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F7.2)	Y position (Dec direction) of the radio source	[ucd=pos.cartesian.y;instr.det]
#Column	NVSS	(a14)	Source name (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(F5.2)	Mean error on RA	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(F4.1)	Mean error on Dec	[ucd=stat.error;pos.eq.dec]
#Column	S1.4	(F8.1)	Integrated 1.4GHz flux density of radio source	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1.4	(F7.1)	Mean error on S1.4	[ucd=stat.error]
#Column	l_MajAxis	(A1)	Limit flag on MajAxis	[ucd=meta.code.error;phys.angSize]
#Column	MajAxis	(F5.1)	Fitted (deconvolved) major axis of radio source	[ucd=phys.angSize;em.radio;meta.modelled]
#Column	l_MinAxis	(A1)	Limit flag on MinAxis	[ucd=meta.code.error;phys.angSize]
#Column	MinAxis	(F5.1)	Fitted (deconvolved) minor axis of radio source	[ucd=phys.angSize;em.radio;meta.modelled]
#Column	PA	(F5.1)	[-90, 90]? Position angle of fitted major axis	[ucd=pos.posAng;meta.modelled]
#Column	e_MajAxis	(F4.1)	? Mean error on MajAxis	[ucd=stat.error;phys.angSize]
#Column	e_MinAxis	(F4.1)	? Mean error on MinAxis	[ucd=stat.error;phys.angSize]
#Column	e_PA	(F4.1)	? Mean error on PA	[ucd=stat.error]
#Column	f_resFlux	(A2)	[PS* ] Residual Code (3)	[ucd=meta.code]
#Column	resFlux	(I4)	? Peak residual flux, in mJy/beam (3)	[ucd=phot.flux.density;em.radio]
#Column	polFlux	(F6.2)	? Integrated linearly polarized flux density	[ucd=phot.flux.density]
#Column	polPA	(F5.1)	[-90,90]? The position angle of polFlux (4)	[ucd=pos.posAng;phys.polarization]
#Column	e_polFlux	(F5.2)	? Mean error on polFlux	[ucd=stat.error]
#Column	e_polPA	(F4.1)	? Mean error on polPA	[ucd=stat.error]
#Column	Image	(a5)	FITS Image of the target, about 200x200 pixels of 5x5arcsec (or consult http://www.cv.nrao.edu/nvss/postage.shtml)	[ucd=meta.ref.url]
_Glon	_Glat	_RAJ2000	_DEJ2000	Field	Xpos	Ypos	NVSS	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	S1.4	e_S1.4	l_MajAxis	MajAxis	l_MinAxis	MinAxis	PA	e_MajAxis	e_MinAxis	e_PA	f_resFlux	resFlux	polFlux	polPA	e_polFlux	e_polPA	Image
deg	deg	deg	deg	 	pix	pix	 	"h:m:s"	"d:m:s"	s	arcsec	mJy	mJy	 	arcsec	 	arcsec	deg	arcsec	arcsec	deg	 	mJy	mJy	deg	mJy	deg	
-----------	-----------	-----------	-----------	--------	-------	-------	--------------	-----------	-----------	-----	----	--------	-------	-	-----	-	-----	-----	----	----	----	--	----	------	-----	-----	----	-----
092.6818445	-63.8538180	000.0006667	 -4.0450833	C0000M04	 511.84	 502.17	000000-040242 	00 00 00.16	-04 02 42.3	 0.03	 0.6	   106.8	    3.2	<	 18.5	<	 16.4	     	    	    	    	  	    	  0.34	  9.9	 0.47	27.0	Image
096.0509583	-60.5297634	000.0068750	 -0.3693611	C0000P00	 510.34	 424.34	000001-002209 	00 00 01.65	-00 22 09.7	 0.03	 0.6	   212.5	    6.4	<	 16.1	<	 14.9	     	    	    	    	  	    	  0.40	 85.7	 0.44	21.9	Image
080.7598449	-71.2916167	000.1055417	-12.7280556	C0000M12	 487.29	 338.26	000025-124341 	00 00 25.33	-12 43 41.0	 0.03	 0.6	   124.2	    3.8	<	 17.3	<	 15.6	     	    	    	    	  	    	  0.62	  6.7	 0.41	13.1	Image
094.1033991	-62.8487742	000.1317917	 -2.8621389	C0000M04	 480.41	 786.06	000031-025143 	00 00 31.63	-02 51 43.7	 0.03	 0.6	   149.0	    4.5	<	 17.6	<	 16.5	     	    	    	    	  	    	  2.28	-89.8	 0.47	 4.0	Image
094.9221001	-62.0400488	000.1319583	 -1.9691389	C0000P00	 480.35	  40.49	000031-015808 	00 00 31.67	-01 58 08.9	 0.03	 0.6	   111.8	    3.4	<	 17.2	<	 16.7	     	    	    	    	  	    	  0.53	  4.3	 0.46	16.9	Image
077.4960831	-72.6208162	000.1675833	-14.3964444	C0000M16	 473.04	 897.78	000040-142347 	00 00 40.22	-14 23 47.2	 0.03	 0.6	   308.8	   10.9	 	 16.9	<	 17.8	 -0.3	 2.6	    	 1.8	P*	  36	 14.31	 74.5	 0.49	 0.6	Image
085.2569991	-69.2991594	000.1778750	-10.2265833	C0000M12	 469.99	 938.53	000042-101335 	00 00 42.69	-10 13 35.7	 0.03	 0.6	   192.3	    6.5	 	 29.1	<	 19.6	-62.7	 1.7	    	 0.9	P*	  34	  2.86	 45.6	 0.60	 3.4	Image
028.7414245	-78.7392026	000.1901250	-27.3809722	C0000M28	 471.48	 661.52	000045-272251 	00 00 45.63	-27 22 51.5	 0.03	 0.6	   234.3	    7.0	<	 18.3	<	 14.8	     	    	    	    	  	    	  4.82	 74.9	 0.44	 1.8	Image
084.3079626	-69.8991208	000.2402083	-10.9089444	C0000M12	 455.39	 774.80	000057-105432 	00 00 57.65	-10 54 32.2	 0.03	 0.6	   396.7	   11.9	<	 16.6	<	 16.3	     	    	    	    	  	    	  7.05	-19.1	 0.41	 1.2	Image
040.3390627	-78.4994709	000.2501250	-25.0844167	C0000M24	 457.63	 252.70	000100-250503 	00 01 00.03	-25 05 03.9	 0.03	 0.6	   130.0	    4.5	 	 27.2	<	 18.0	 43.3	 1.8	    	 1.3	  	    	  4.37	 85.3	 0.60	 2.3	Image
074.3583786	-73.7638231	000.2719167	-15.8519167	C0000M16	 449.22	 548.49	000105-155106 	00 01 05.26	-15 51 06.9	 0.03	 0.6	   347.5	   10.4	<	 16.9	<	 16.2	     	    	    	    	  	    	  1.53	 -7.0	 0.43	 5.5	Image
071.3926482	-74.5646959	000.2728333	-16.9902500	C0000M16	 449.37	 275.31	000105-165924 	00 01 05.48	-16 59 24.9	 0.03	 0.6	   730.1	   23.9	 	 39.8	<	 17.1	  5.7	 1.4	    	 0.1	P*	 111	 11.94	 52.3	 0.75	 0.9	Image
069.4232018	-75.0382897	000.2760833	-17.6908056	C0000M16	 448.87	 107.22	000106-174126 	00 01 06.26	-17 41 26.9	 0.03	 0.6	   447.4	   13.4	<	 18.4	<	 16.9	     	    	    	    	  	    	  2.26	 34.4	 0.45	 3.8	Image
017.0192232	-78.6538152	000.2821667	-29.6748889	C0000M28	 453.16	 111.01	000107-294029 	00 01 07.72	-29 40 29.6	 0.04	 0.6	   134.6	    5.0	 	 43.4	 	 17.4	-42.1	 1.4	 2.6	 0.8	  	    	  3.79	 50.1	 0.91	 3.3	Image
081.5266582	-71.2608687	000.2867083	-12.5540278	C0000M12	 444.83	 379.99	000108-123314 	00 01 08.81	-12 33 14.5	 0.03	 0.6	   317.9	   10.6	 	 34.0	<	 18.1	-12.4	 1.5	    	 0.4	P*	 103	  0.19	-73.2	 0.64	53.5	Image
088.1670469	-67.8626486	000.3132917	 -8.4451111	C0000M08	 437.62	 406.14	000115-082642 	00 01 15.19	-08 26 42.4	 0.03	 0.6	   151.1	    5.9	 	 22.4	 	 16.6	-61.4	 2.1	 2.7	 3.6	  	    	  6.04	-18.6	 0.62	 1.7	Image
089.0845839	-67.2899915	000.3250000	 -7.7740833	C0000M08	 434.71	 567.18	000118-074626 	00 01 18.00	-07 46 26.7	 0.03	 0.6	   208.4	    6.3	<	 17.5	<	 16.9	     	    	    	    	  	    	  3.49	-55.0	 0.48	 2.7	Image
096.8143666	-60.5015075	000.3405000	 -0.1942222	C0000P00	 430.28	 466.38	000121-001139 	00 01 21.72	-00 11 39.2	 0.03	 0.6	   110.6	    3.3	<	 20.1	<	 18.8	     	    	    	    	  	    	  2.94	-15.0	 0.50	 3.2	Image
092.7940641	-64.5370942	000.3520417	 -4.6337222	C0000M04	 427.78	 360.88	000124-043801 	00 01 24.49	-04 38 01.4	 0.03	 0.6	   632.3	   19.0	<	 19.4	<	 16.2	     	    	    	    	S*	 128	 12.60	-50.4	 0.48	 0.7	Image
