#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-10T06:08:15 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-10T06:08:15	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-out.add=_Glon,_Glat&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VIII/81B/sumss212&-order=I&-out=RAJ2000&-out=e_RAJ2000&-out=DEJ2000&DEJ2000=&gt;-30 & &lt;0&-out=e_DEJ2000&-out=Sp&-out=e_Sp&-out=St&-out=e_St&-out=MajAxis&-out=MinAxis&-out=PA&-out=dMajAxis&-out=dMinAxis&-out=dPA&-out=Mosaic&-out=Nm&-out=Xpos&-out=Ypos&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8081
#Name: VIII/81B
#Title: Sydney University Molonglo Sky Survey (SUMSS V2.1) (Mauch+ 2008)
#INFO	ivoid=ivo://cds.vizier/viii/81b	    IVOID of underlying data collection
#INFO	creator=Mauch T.	    First author or institution
#INFO	cites=bibcode:2003MNRAS.342.1117M	    Article or Data origin sources
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/81B	    Dataset landing page
#INFO	publication_date=2013-07-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	VIII_81B_sumss212:
#Name: VIII/81B/sumss212
#Title: The SUMSS Catalog, Version 2.1r (Feb-16-2012)
#Column	_Glon	(F11.7)	Galactic longitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lon]
#Column	_Glat	(F11.7)	Galactic latitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lat]
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	RAJ2000	(A11)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	e_RAJ2000	(F4.1)	The uncertainty in Right Ascension (1)	[ucd=stat.error;pos.eq.ra]
#Column	DEJ2000	(A12)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	e_DEJ2000	(F4.1)	The uncertainty Declination	[ucd=stat.error;pos.eq.dec]
#Column	Sp	(F7.1)	Peak brightness at 843MHz (in mJy.beam-1)	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sp	(F6.1)	Uncertainty on Sp	[ucd=stat.error;src.spType]
#Column	St	(F8.1)	Total flux density at 843MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_St	(F6.1)	Uncertainty on St	[ucd=stat.error]
#Column	MajAxis	(F6.1)	Fitted major axis	[ucd=phys.angSize;meta.modelled]
#Column	MinAxis	(F5.1)	Fitted minor axis	[ucd=phys.angSize;meta.modelled]
#Column	PA	(F5.1)	Fitted major axis position angle (N to E)	[ucd=pos.posAng;meta.modelled]
#Column	dMajAxis	(F6.1)	Fitted major axis after deconvolution (2)	[ucd=phys.angSize;meta.modelled]
#Column	dMinAxis	(F5.1)	Fitted minor axis after deconvolution (2)	[ucd=phys.angSize;meta.modelled]
#Column	dPA	(F5.1)	? Fitted major axis position angle	[ucd=pos.posAng;meta.modelled]
#Column	Mosaic	(A8)	Mosaic in which the source appears ({\fg{blue3}the link gives an access to the {\bf FITS} image}) (3)	[ucd=obs.image]
#Column	Nm	(I1)	Number of mosaics with the source (4)	[ucd=meta.number]
#Column	Xpos	(F6.1)	Position of the source on quoted mosaic (4)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F6.1)	Position of the source on quoted mosaic (4)	[ucd=pos.cartesian.y;instr.det]
_Glon	_Glat	_RAJ2000	_DEJ2000	RAJ2000	e_RAJ2000	DEJ2000	e_DEJ2000	Sp	e_Sp	St	e_St	MajAxis	MinAxis	PA	dMajAxis	dMinAxis	dPA	Mosaic	Nm	Xpos	Ypos
deg	deg	deg	deg	"h:m:s"	arcsec	"d:m:s"	arcsec	mJy	mJy	mJy	mJy	arcsec	arcsec	deg	arcsec	arcsec	deg	 	 	pix	pix
-----------	-----------	-----------	-----------	-----------	----	------------	----	-------	------	--------	------	------	-----	-----	------	-----	-----	--------	-	------	------
016.0100352	-78.3908631	000.0256250	-29.9196389	00 00 06.15	 4.6	-29 55 10.70	 7.7	   11.8	   2.1	    13.5	   2.4	  93.2	 51.3	169.1	   0.0	  0.0	     	J0000M32	1	 697.7	 734.7
015.5985496	-78.4389862	000.0983333	-29.9915833	00 00 23.60	10.3	-29 59 29.70	11.5	   10.2	   2.2	    18.5	   4.0	 111.4	 73.9	143.4	   0.0	  0.0	     	J0000M32	1	 677.1	 722.2
015.8285167	-78.5320759	000.1935417	-29.9285833	00 00 46.45	 3.2	-29 55 42.90	 5.1	   18.1	   2.1	    20.7	   2.4	  93.0	 51.6	168.7	   0.0	  0.0	     	J0000M32	1	 650.1	 733.1
015.5101100	-78.5726266	000.2536250	-29.9826944	00 01 00.87	 4.1	-29 58 57.70	 5.0	   19.5	   2.2	    19.5	   2.2	  84.9	 62.4	158.3	   0.0	  0.0	     	J0000M32	1	 633.1	 723.7
015.6731603	-78.7639448	000.4628333	-29.9136389	00 01 51.08	 2.5	-29 54 49.10	 4.1	   19.2	   2.0	    19.2	   2.0	  84.9	 45.3	  1.9	   0.0	  0.0	     	J0000M32	1	 573.7	 735.6
014.5774523	-79.6430504	001.5042083	-29.9297778	00 06 01.01	 1.6	-29 55 47.20	 1.9	   69.9	   2.5	    70.0	   2.5	  84.9	 45.7	  2.6	   0.0	  0.0	     	J0000M32	1	 278.4	 731.4
014.4803352	-79.6675273	001.5362500	-29.9412778	00 06 08.70	 1.6	-29 56 28.60	 1.9	   63.8	   2.4	    63.8	   2.4	  84.9	 45.3	177.3	   0.0	  0.0	     	J0000M32	1	 269.4	 729.3
013.9423480	-79.8678159	001.7866667	-29.9880000	00 07 08.80	 1.6	-29 59 16.80	 2.0	   42.5	   1.8	    42.5	   1.8	  84.9	 45.3	177.1	   0.0	  0.0	     	J0000M32	1	 198.6	 720.6
012.8567213	-80.6716767	002.7381250	-29.9650278	00 10 57.15	 3.5	-29 57 54.10	 3.6	   20.2	   1.8	    20.2	   1.8	  84.9	 58.1	 42.7	   0.0	  0.0	     	J0018M32	1	1204.5	 724.7
012.6889233	-80.8006333	002.8899167	-29.9569444	00 11 33.58	 2.1	-29 57 25.00	 2.3	   56.3	   2.7	    57.0	   2.7	  84.9	 64.7	147.7	   0.0	  0.0	     	J0018M32	1	1161.5	 726.4
011.1916154	-81.4913990	003.7299167	-29.9827778	00 14 55.18	 3.7	-29 58 58.00	 6.6	   11.0	   1.9	    11.0	   1.9	  84.9	 45.5	177.5	   0.0	  0.0	     	J0018M32	1	 923.3	 723.4
011.4614952	-81.5181324	003.7457500	-29.9367778	00 14 58.98	 3.6	-29 56 12.40	 7.6	   14.2	   1.9	    23.5	   3.2	 133.8	 52.3	168.5	   0.0	  0.0	     	J0018M32	1	 918.9	 731.3
011.1870763	-81.6404753	003.8943333	-29.9388056	00 15 34.64	 4.0	-29 56 19.70	 2.6	   17.9	   1.9	    17.9	   1.9	  85.0	 45.0	 90.9	   0.0	  0.0	     	J0018M32	1	 876.8	 731.1
010.5231920	-81.9597072	004.2784583	-29.9309167	00 17 06.83	 4.4	-29 55 51.30	 5.2	   19.2	   2.2	    19.2	   2.2	  84.9	 65.6	 25.2	   0.0	  0.0	     	J0018M32	1	 767.8	 732.7
010.1839260	-82.0356624	004.3788750	-29.9516111	00 17 30.93	 7.1	-29 57 05.80	 5.8	   10.1	   2.0	    10.1	   2.0	  84.9	 50.3	121.9	   0.0	  0.0	     	J0018M32	1	 739.3	 729.2
009.8174806	-82.1107351	004.4797500	-29.9751111	00 17 55.14	 4.7	-29 58 30.40	 4.4	   19.3	   2.2	    22.7	   2.6	  84.9	 61.3	127.0	   0.0	  0.0	     	J0018M32	1	 710.7	 725.1
010.1263067	-82.1405343	004.4964167	-29.9254167	00 17 59.14	 1.8	-29 55 31.50	 2.4	   42.9	   2.3	    42.9	   2.3	  84.9	 46.5	175.0	   0.0	  0.0	     	J0018M32	1	 706.0	 733.7
002.8743456	-84.1610517	007.0279583	-29.9316944	00 28 06.71	13.9	-29 55 54.10	 8.3	   14.4	   2.5	    51.1	   8.8	 159.1	 86.3	103.5	   0.0	  0.0	     	J0036M32	1	1264.2	 729.9
355.8100184	-85.2642525	008.5035833	-29.9187778	00 34 00.86	 2.3	-29 55 07.60	 3.8	   19.1	   1.8	    19.1	   1.8	  84.9	 45.1	  1.6	   0.0	  0.0	     	J0036M32	1	 845.8	 734.7
